Name,Ratings,Review
Greta,4.0 out of 5 stars,"My first unit was dysfunctional out of the box (repeated charging problems — wouldn’t charge when plugged in and then after the reset, drained almost immediately while on sleep/without active use and ultimately turned out to be slower than the new one), which took some pushiness on my part to get replaced. Amazon did follow up afterwards which I appreciate the original unit ended up being sent to their engineering department, which suggests a concern with quality control. And my new unit is wonderful. It is replacing a 2014 paperwhite. I really wanted and like the water resistant aspect. It’s nice to read in the bathtub without a ziplock bag or a worry about an accident. I also like the extra memory and being able to Bluetooth connect to headphones. Once you have downloaded an audible book to go with a kindle version, you can’t delete the audible without also deleting the kindle (and then redownloading the latterif you want), at least as far as I have been able to figure out. It feels lighter than my old one (which may be a difference in cases — I ordered the water-resistant fabric one of from Amazon and my old one had a leather case). The front is completely flush — no bevel down to the screen, so it feels more like a paper book in that way. I find the unit to be very responsive except for menu items — then it is slow to recognize the tap and if I tap again I end up getting two or three menus appearing over one another when they do show up. Other than that, all the wonderful aspects of the old paperwhite + the new features."
Richard F. Keller,5.0 out of 5 stars,"I have only had it a week, obviously but love it so far. It is lighter and slightly smaller. It fits well in my hand and I love it and it is my 6th kindle so I have some experience with them."
Laurie M. Salazar,1.0 out of 5 stars,"My Paperwhite arrived and I couldn’t wait to try it. I took it out of the box, registered it and started to read. During the day I felt the light was very dim, even when tuned up to maximum. So I decided I’d wait until night time and try it then. It was still WAY too dim. I called the next day to try and get some tech support and after an hour long, wasted phone call in which I got no help, I decided to send it back. I’m afraid to order another one, because if the light is still too dark, it won’t work for me. It was darker than the light on my old Kindle, my iPhone, my iPad mini and my MacBook."
William,3.0 out of 5 stars,"I used the first gen of paperwhite
Upgrade to the new one
Compare these two
Old one's font is much better for reading
The new paperwhite' s font just look not solid"
Patsy Hennessey,5.0 out of 5 stars,"I received this as a Birthday present from my husband.

This Kindle is lighter and thinner than the last generation, noticeably so. The flat edge to edge screen is an improvement in feel and makes it much easier to clean. It still has an excellent non-glare screen that I love for reading outdoors.

Mine is the 32G model, which is absolutely the best improvement for me, as my ebook library had outgrown my old Kindle's capacity, forcing me to remove parts of my library from it. It is a personal quirk, but I prefer to have my entire library available to me on my device.

I'm also very pleased by the addition of Audible capability, allowing me to combine my libraries into one device. Mine paired easily with my Yurbuds Bluetooth earbuds, allowing for comfortable listening.

As with my last Kindle, my reading experience is unbelievably enhanced. My eyesight is poor and reading small print triggers migraines. As I am able to choose a font and print size that works for me, the Kindle has meant that I can read as much as I like again.

The only fly in the ointment, and this does not change my love for this new generation Kindle, is that my wonderful, well made cover for last generation will not fit the new one, and the design and quality of the new covers just doesn't stand up to the old one."
Amazon Customer,1.0 out of 5 stars,"Very disappointing. Charging cable didn't have the correct USB, can't use it. No option to turn it off. No way to add apps (games), or view E-mail. I'll use it when I'm near water. Otherwise, I'm keeping my old Kindle Fire and using that."
R. Price Blalock,2.0 out of 5 stars,Screen has a blue tint to it that was not present on the previous generation that makes reading in the dark feel like you are reading a laptop. The power switch is (again) akwardly positioned where you would rest your pinky except this time the amazon case does not inhibit you from constantly pressing the button. I was very excited to get the new model but reading in the dark at night is where I use my Kindle most and this generation is a downgrade for that purpose. Blue light screen does not dim as much as the previous generation and the case is lower quality.
AJR,3.0 out of 5 stars,"I ""upgraded"" my previous paperwhite kindle to this one for the waterproof nature of the new model. That's great, but the new one has the power button on the bottom which is very easy to accidentally hit while you are holding the kindle and turn it off. The recessed button on the previous model was much better! Secondly, you are now forced to ""swipe to unlock kindle"" after you press the power button. It is a minor hassle to have to do that every time you want to use the kindle after you've already pressed the power button to turn it on. Again, the previous model where all you had to do was hit the power button was a better design. Come on Amazon, we've come to expect more than this from you!"
Yang Zhou,3.0 out of 5 stars,"Right after I purchased this Kindle I received a Welcome email from Amazon and I noted there is an additional message in the email that states ""We’ve heard from a small number of customers that they’re having trouble inserting the included USB cable into their device."" I didn't expect that would be me.
Guess what, I received my Kindle today and the USB won't go in at all! Very frustrated now! So I contacted the Amazon customer service and apparently the agent who answered my call was not aware of this apparently prevailing issue a lot of customers are experiencing!
Come on Amazon, this is my first Kindle ever and so far I am not happy with this huge design failure.

Update 20 days after purchase:
So I called the customer representative and they admitted that it is indeed a defect a lot of customers are having the same issue. Their solution is to give me a $10 voucher and purchase a spare USB cable which will fit. It turned out that the Kindle itself is fine. The cable, however, is defective. This solved my problem. However, I just really wished everything could be right the first time.

Updated today on Jan 01, 2020:

So this Kindle has been acting strangely for a whole year since my purchase. Whenever the battery is low, it will go to a complete grey screen mode with a battery warning symbol on it and every time I had to hold the power button for ten seconds to reboot the system in order to start the kindle. (Note: just charging it won't solve the problem, I have to charge and reboot every time). Now today, after I charged the kindle, the rebooting did not even start it. The unit is now completely dead to me with the battery warning symbol on the screen."
JET,1.0 out of 5 stars,"*****UPDATE******
So my replacement came today. And of course its not running the current software, its running the 5.10.0.1.
To introduce major hardware upgrades and not the latest software, and then expect customers to wait upwards of a month for a corresponding software update??? Why would Amazon think that is acceptable??
Anyway, both 10th generations are going back as soon as possible. I'll carry on with my 2015 model....

*****ORIGINAL REVIEW******
Why did I receive a brand spanking new high capacity, IPX8 rated 10th generation PaperWhite running the old 5.10.0.1 software?? After spending hours on the phone with 3 different CS reps, I now understand the current 5.10.1.2 software is not available to download, anywhere. No active Kindle content, no custom fonts, no scrolling home page, etc.
Amazon has agreed to send me another new 10th generation at no charge to make up for this little snafu however, I am not convinced the new 'new' device will have the current 5.10.1.2 software on it.
The last CS rep actually said she didn't understand what the problem was since the device still worked and downloaded books and I could buy and read on it. I had to explain to her that the software is what allows one to personalize the device and its this personalization that keeps Kindle owners coming back again and again. the IPX rating, the flush screen, the bluetooth / Audible features are great to have, but its the software that can make it yours.
And speaking of bluetooth, is it not time to re-introduce device music playback? I'm not sure why this feature was discontinued in the first place.
Amazon Kindle Paperwhite Development Team: bring back the simple MP3 player, Thank you very much...."
Honey's girl,3.0 out of 5 stars,"For me the most important thing was storage, battery life and it being water proof. Unfortunately battery life does not live up to the hype. Only a day or two for me. Granted, I read a lot but my old paper white lasts longer. Also hate the power button being on the bottom causing me to accidentally cut it off while reading."
Kindle Customer,1.0 out of 5 stars,"Kindle was so interested in giving us the lightest, the thinnest, the smallest, etc, of the e-readers that they failed to focus on what is good about the kindle. The bottom of the kindle is thinner but the on/off button sticks out below the case and turns the Kindle off while resding. When I turned a page, the book would go back to the index (1%) and I would have to find out what part of the book I had completed before continuing with the book I was trying to enjoy. VERY annoying. And there were a couple of minor glitches too. It is going back."
Naima Dillard Thomas,2.0 out of 5 stars,"I was so excited to find out there was a new paperwhite with bluetooth capabilities for audible. I'm a serious reader and my job doesn't make way for me to actually ""read"" a book, so Audible allows me to work and get my book fix at the same time. That's the only reason why I bought this; my old paperwhite works just fine and the battery lasts forever!

Well, the new paperwhite is nice, it's a little lighter, but the old generation never bothered me in terms of weight and handiness. I like the extra storage and I especially like the audible feature. The reason why I'm giving this product 3 stars is the deplorable battery life. I charged it fully this morning (7:00am) and its halfway gone by 3:30pm. Not cool. Perhaps it's the new features, but Amazom advertises this Kindle as having just as much of a long battery life as its previous makes. I would have never purchased this if I knew the battery sucked; I would just listen using my phone. Too bad for me, I gave my old paperwhite away to a friend. Ironically, I was going to buy the oasis but stopped when so many customers complained that the battery was inferior, now I feel slightly cheated.

*update February 13, 2019:

I really wish I hadn't bought this device and just kept my old one. I originally purchased it for the Audible features but I don't use it; I'm too annoyed at the device disconnecting from my earphones if I leave the device paused. Honestly, of I'm at work and I pause Audible, within a minute my Kindle will disconnect from my earphones and I'll have to connect them. Annoying, especially considering my iPad or Android phone has never done this--i can paused something, walk way, come back and click ""play"" on my earphones and the book will resume. Not with this over priced ebook reader. It disconnects, so I'm forced to flip open the case, then I have to wait for it go through ""waking up."" Again, annoying. I purchased this for Audible; had I known this device was so inferior I would of kept my old paperwhite and continued to use the app with my phone. Honestly, my old paperwhite was my favorite piece of tech. To me, it was Amazon's perfect ebook reader. Sometimes simple is better.

It's sad because I dont really use this at all; when I'm at home and I can actually look at a book, I read from my phone or a physical copy because the screen is not like the original. The light isn't as soft as the old one.

I don't want to be wasteful, so I'm slowly but surely using it--I'm forcing myself to put it in my purse and read it during my lunch break or on my commute. Let's be honest, I'm probably just going to give this to my mother-in-law and buy the older one again--but I kind of like my mother-in-law so that might my cruel to give her a device that's not worth the money I spent on it.

Any pros? Its light, really unnoticeable in my purse or my hand. I'm a fan of the size and how flat and matte the screen feels. I can't speak personally on the storage because I haven't maxed it out, nor have I even maxed out the old one despite how many books I buy. I like the case, it's easy to remove so I can clean the device, yet it does a good job of protecting the paperwhite. I purchased the Amazon case so it was expensive, but at the time smaller companies hadn't come out with any knockoffs, so I'm sure there are better alternatives.

Unfortunately, I have to knock a star off of my original review. When I first reviewed this, I only had the device for a few short weeks. Now, after owning it for some time I feel better about my decision on giving it such a low rating. I used to be a ""book snob,"" look down my nose at electric devices. I blamed them for the reason Borders went out of business among other things. Then my physical library got too big and being a person that reads more than one book at a time, my purse started getting heavier. Then my grandmother bought me a cheap I-can't-remember-the-brand-name-to-save-my-life ebook reader and I loved it. So when that device died, I took the plunge and bought a paperwhite. And kept it for YEARS. I'm not even joking; the paperwhite I gave to my friend, I had for years. I had it for so long the case I originally bought for it just fell off one day. It was a composition style case and by the time it made it to the trash it turned into a gray case.

So, I wrote all that just to say, this is really disappointing Amazon. I know ebook readers are on the bottom of the totem pole when it comes to tech, but you had a product that performed greatly for what it was and for it's price. And I'm sure you had the money and the expertise to make this model even better, but you missed the mark for some reason. Shame."
Ali,5.0 out of 5 stars,"I was really surprised/impressed with how nice this new 2018 Kindle paperwhite was when it first arrived. When I first opened it I could tell it seemed longer, and maybe the wider bezel around it is for readers who prefer to read without a case, offering a better grip. Just guessing. I have both the Oasis, (both versions), and the Voyage, (a couple of them gifts and wonderful ereaders, I’ve thought), and I have loved them and still do, so I wasn’t expecting to really be impressed with this new ereader. I like to have an extra ereader or two so when my friends come to visit, we can all sit around and read if we want when we’re tired of going.

So a great surprise to see what a terrific ereader this is. Very lightweight , great flush screen, good adjustable back lighting, and just an easy tap to turn pages, and not even having to move your hand. Also there’s a good variety of cases to purchase and protect it. I prefer reading with a case on for a better grip for my smallish hands who are now home to some arthritis. I was able to find a great inexpensive case that fit well and has the sleep wake function. And now I see this as a wonderful option as a travel ereader too. It’s very thin, light, and compact, even in a case. I’ve had Amazon ereader’s since 2011, and have been impressed with most of them. But this one really impressed me since I haven’t had a Paperwhite version for awhile. Really with this version there’s not a lot of reason to upgrade to the Oasis. (Though I have to admit I love reading on my Oasis). But this is an easy to hold, very easy to see, easy to turn pages without moving your hand reader with great storage and, the opportunity of audible. What is not to love about it. Also the flush screen is a perfect upgrade. I read in bed the other night and the on/off button that another reviewer mentioned positioned at the bottom thought because of the placement , might turn the screen off, didn’t come into play at all, and then when the case came and I read in it again it seemed with the case there was no issue. It seems all Amazon has learned about producing ereaders came together with this 2018 Paperwhite. Really for me this is a five star product."
Kindle User,1.0 out of 5 stars,"The is no reason to upgrade. There are no additional features or user benefits. It is slightly lighter, but the screen is no brighter and there are no addition user controls or settings that represent an improvement."
stenUSMC,1.0 out of 5 stars,"Originally ordered two, one for me, one for my wife. After I got done charging mine, started the long, laborious process of downloading my library. (We live in an area without reliable WiFi, and large swathes of no cell or WiFi service, so we have to have the books on the Kindle...the 8G was a big plus...) Went to work. Eight hours later, my new Kindle, which had been off, was down to 45% on the charge. Tried again. Starting at 100%, after three hours of reading, was down to 52%. Contacted customer support for a replacement, as obviously the battery wasn't charging properly. Only had to go through three reps to get the return label...a personal achievement!

Notified the replacement had not been delivered (at a time my wife and I were both home) by the USPS. Reported it to them and Amazon. After four reps, got a replacement sent. It arrives with the one that was ""undeliverable"". Charged both. Batteries seem to be OK. Getting ready to contact Amazon to return one of them. Screen locks up. Software was not the latest version that was on my wife's (working) new Kindle. Tried the other one. Same; screen locks up when downloading a book, not the latest software. Both had to be force rebooted to unfreeze. Both locked up again. Again, had to force reboot to unfreeze.

Tired of having my life sucked out by defective products, contacted support to return two, and *maybe* try again. After going through eight reps, my patience was at an end, and went for the return and refund. This was the most unhelpful customer support I have ever experienced from Amazon.

I do not recommend purchasing the new Paperwhite Kindles until they work the bugs out, if at all. My older reader seems like it will have to do for the foreseeable future.

Edited to add: Had to return my wife's new Kindle paperwhite. Would not stay connected to the WiFi. Would not allow books to be shared from our family library. (Books showed up fine on her old Kindle, her phone, and her computer - just not the new one.) She's now stuck with her older Kindle.

All in all, a pretty unpleasant experience, Amazon. Now I'm waiting with bated (thanks Kaila - pokking autocorrect) breath to see how the refund process and credit for two older Kindles traded in for the new ones will go. (I'm guessing not well.)

2nd Edit - finally got the refund after going back and forth; seems they couldn't figure out their own order number system. Got nothing for the two Kindles I 'traded-in' for the new Kindle. (Don't really care if they are donating the Kindles to people who can use them...)"
